City,lat,temp,sunrise,sunset,solar_rad,day_length
oiso,35.31558,18.3,10/27/2020 20:59,10/27/2020 7:52,411.5,653
mahebourg,-20.40806,21.1,10/27/2020 1:30,10/27/2020 14:16,66.6,766
khormuj,28.6543,6,10/27/2020 2:39,10/27/2020 13:47,0,668
palmer,10.74055,28,10/27/2020 10:49,10/27/2020 22:36,0,707
pokhara,28.26689,23.9,10/27/2020 0:25,10/27/2020 11:42,259.5,677
areka,7.06667,23.6,10/27/2020 2:56,10/27/2020 14:57,0,721
zilair,52.2332,-2.2,10/27/2020 2:54,10/27/2020 12:42,0,588
sungairaya,-2.8566,31.3,10/27/2020 21:57,10/27/2020 10:11,873,734
georgetown,12.05644,25,10/27/2020 9:58,10/27/2020 21:43,0,705
awbari,26.59206,18.5,10/27/2020 5:29,10/27/2020 16:40,0,671
huarmey,-10.06806,16.7,10/27/2020 10:49,10/27/2020 23:11,0,742
ushuaia,-54.8,9,10/27/2020 8:53,10/27/2020 23:41,0,888
butaritari,44.73333,8.8,10/27/2020 4:55,10/27/2020 15:21,0,626
tsihombe,-25.3,18.6,10/27/2020 2:13,10/27/2020 15:07,0,774
jamestown,-15.93872,25.3,10/27/2020 5:40,10/27/2020 17:46,0,726
upernavik,72.78684,-10.9,10/27/2020 11:25,10/27/2020 18:48,0,443
punta arenas,-53.15483,7,10/27/2020 9:09,10/27/2020 23:46,0,877
bambous virieux,-20.34278,21.1,10/27/2020 1:30,10/27/2020 14:16,66.6,766
kholm-zhirkovskiy,55.51889,5,10/27/2020 4:26,10/27/2020 14:02,0,576
constitucion,25.0321,21.4,10/27/2020 13:31,10/27/2020 0:46,0,675
rapid valley,44.06249,-16,10/27/2020 13:23,10/27/2020 23:49,0,626
talara,-4.57722,21.3,10/27/2020 10:58,10/27/2020 23:12,0,734
albany,31.57851,24,10/27/2020 11:48,10/27/2020 22:51,0,663
east london,-33.01529,14.5,10/27/2020 3:12,10/27/2020 16:26,0,794
cabo san lucas,22.89088,23.8,10/27/2020 13:22,10/27/2020 0:44,0,682
akhtubinsk,48.27955,5.6,10/27/2020 3:41,10/27/2020 13:50,0,609
iaciara,-14.09583,20.6,10/27/2020 8:36,10/27/2020 21:14,0,758
san cristobal,9.87809,26.4,10/27/2020 10:51,10/27/2020 22:39,0,708
puerto ayora,-0.74018,20,10/27/2020 11:40,10/27/2020 23:49,0,729
bredasdorp,-34.53215,14.3,10/27/2020 3:48,10/27/2020 17:09,0,801
avera,-22.47814,25.4,10/27/2020 15:21,10/27/2020 4:02,297.7,761
hermanus,-34.4187,14.3,10/27/2020 3:48,10/27/2020 17:08,0,800
provideniya,64.42289,0.4,10/27/2020 18:54,10/27/2020 3:29,31.4,515
bluff,-46.6,11.2,10/27/2020 17:28,10/27/2020 7:25,364.5,837
nova olinda do norte,-3.89174,27.9,10/27/2020 9:37,10/27/2020 21:50,0,733
mazagao,33.25492,12.8,10/27/2020 6:44,10/27/2020 17:43,0,659
grand river south east,-20.28611,21.1,10/27/2020 1:30,10/27/2020 14:16,66.6,766
tazovskiy,67.4715,-4.2,10/27/2020 2:07,10/27/2020 11:07,0,540
mar del plata,-38.00228,9.1,10/27/2020 8:46,10/27/2020 22:15,0,809
bolungarvik,66.15917,3.2,10/27/2020 8:57,10/27/2020 17:29,0,512
beringovskiy,63.06101,-4.1,10/27/2020 19:41,10/27/2020 4:06,22.7,505
araouane,18.90476,25.2,10/27/2020 6:10,10/27/2020 17:50,0,700
turukhansk,65.79479,-19.6,10/27/2020 2:11,10/27/2020 9:36,3.2,445
hithadhoo,-0.6,27.3,10/27/2020 0:40,10/27/2020 12:31,81.5,711
rikitea,-23.12028,23.8,10/27/2020 14:53,10/27/2020 3:47,42.7,774
kampong thum,12.71112,28.6,10/27/2020 22:51,10/27/2020 10:37,139.7,706
chuy,42.81973,-1.3,10/27/2020 1:30,10/27/2020 12:03,50.7,633
dunedin,-45.87416,12.4,10/27/2020 17:20,10/27/2020 7:18,821.4,838
port alfred,-33.58601,15.4,10/27/2020 3:28,10/27/2020 16:44,0,796
arroyo,41.60956,5,10/27/2020 6:45,10/27/2020 17:20,0,635
vaini,-21.19292,23,10/27/2020 16:59,10/27/2020 5:48,832.9,769
taolanaro,-25.03249,18.6,10/27/2020 2:13,10/27/2020 15:07,0,774
maragogi,-9.01222,23.5,10/27/2020 7:54,10/27/2020 20:19,0,745
takaka,-40.85,9.2,10/27/2020 17:22,10/27/2020 7:03,85.4,821
isangel,-19.54167,29,10/27/2020 18:04,10/27/2020 6:49,996.8,765
nuuk,64.18347,-2,10/27/2020 10:55,10/27/2020 19:24,0,509
hasaki,35.73333,19.9,10/27/2020 20:56,10/27/2020 7:48,561.3,652
iqaluit,63.74697,-9,10/27/2020 12:00,10/27/2020 20:34,0,514
thap than,15.46063,26.1,10/27/2020 23:10,10/27/2020 10:50,107.3,700
kaeo,-35.1,22.2,10/27/2020 17:21,10/27/2020 6:49,269.6,808
arraial do cabo,-22.96611,22.1,10/27/2020 8:10,10/27/2020 21:03,0,773
san rafael,6.29436,14.1,10/27/2020 10:48,10/27/2020 22:43,0,715
harper,4.3782,25.5,10/27/2020 6:00,10/27/2020 17:58,0,718
hami,51.68033,8.8,10/27/2020 6:14,10/27/2020 16:10,0,596
kruisfontein,-34.00333,15.4,10/27/2020 3:28,10/27/2020 16:44,0,796
talnakh,69.4865,2.8,10/27/2020 1:16,10/27/2020 10:48,0,572
parauna,-99,-99,-99,-99,-99,-99
quelimane,-17.87861,22.4,10/27/2020 3:01,10/27/2020 15:47,0,766
anori,7.18333,14.1,10/27/2020 10:48,10/27/2020 22:43,0,715
burica,8.03333,18.9,10/27/2020 11:18,10/27/2020 23:09,0,711
sambava,-14.26667,19.1,10/27/2020 2:05,10/27/2020 14:47,0,762
barentsburg,78.06439,8,10/27/2020 6:56,10/27/2020 14:20,0,444
norman wells,65.28201,-6.7,10/27/2020 16:02,10/27/2020 0:18,0,496
cabangahan,9.0781,28.6,10/27/2020 21:35,10/27/2020 9:25,650,710
beloha,-25.16667,18.6,10/27/2020 2:13,10/27/2020 15:07,0,774
conakry,9.53795,22.3,10/27/2020 6:40,10/27/2020 18:24,0,704
illoqqortoormiut,70.48456,-1.4,10/27/2020 8:55,10/27/2020 17:19,0,504
whitehorse,60.71611,-1.1,10/27/2020 16:13,10/27/2020 1:15,0,542
zhanaozen,43.34116,7.6,10/27/2020 3:05,10/27/2020 13:33,0,628
tabialan,6.02806,27,10/27/2020 21:38,10/27/2020 9:32,232.9,714
tiksi,71.69002,-9.1,10/27/2020 22:41,10/27/2020 7:30,8.4,529
nishihara,-99,-99,-99,-99,-99,-99
norrkoping,58.59419,10,10/27/2020 5:59,10/27/2020 15:16,0,557
katsuura,35.14621,19.9,10/27/2020 20:56,10/27/2020 7:48,568.3,652
abu dhabi,24.46667,25,10/27/2020 2:25,10/27/2020 13:45,0,680
salalah,17.01505,22.9,10/27/2020 2:19,10/27/2020 13:55,0,696
henties bay,-22.11667,13.8,10/27/2020 4:19,10/27/2020 17:11,0,772
ayagoz,47.96447,9.8,10/27/2020 1:21,10/27/2020 11:24,66,603
lakes entrance,-37.86679,13.1,10/27/2020 19:06,10/27/2020 8:39,176.5,813
barawe,-99,-99,-99,-99,-99,-99
falun,60.60357,7.8,10/27/2020 6:09,10/27/2020 15:13,0,544
ahipara,-35.16667,21.6,10/27/2020 17:25,10/27/2020 6:49,887,804
kapaa,22.07521,21.7,10/27/2020 16:38,10/27/2020 4:03,82.8,685
longyearbyen,-99,-99,-99,-99,-99,-99
mataura,-23.34722,23.8,10/27/2020 14:53,10/27/2020 3:47,90.7,774
gamba,-2.65,24.6,10/27/2020 5:02,10/27/2020 17:09,0,727
irpa irpa,-17.71667,15.2,10/27/2020 9:48,10/27/2020 22:29,0,761
cap malheureux,-19.98417,22.2,10/27/2020 1:29,10/27/2020 14:16,63.6,767
warqla,31.94932,17.4,10/27/2020 5:50,10/27/2020 16:53,0,663
springdale,36.18674,1.7,10/27/2020 12:35,10/27/2020 23:25,0,650
port hedland,-20.31215,31.1,10/27/2020 21:25,10/27/2020 10:12,959.8,767
avarua,-21.20778,22,10/27/2020 15:58,10/27/2020 4:47,111.2,769
labuhan,3.7278,29,10/27/2020 23:08,10/27/2020 11:09,656.8,721
ribeira grande,17.18561,23.7,10/27/2020 7:36,10/27/2020 19:11,0,695
tautira,-17.73333,23.8,10/27/2020 14:53,10/27/2020 3:47,88.3,774
san patricio,19.22534,26.7,10/27/2020 12:55,10/27/2020 0:26,0,691
port lincoln,-34.72625,14.5,10/27/2020 19:47,10/27/2020 9:11,395.1,804
san juan de la maguana,18.80588,23.6,10/27/2020 10:42,10/27/2020 22:12,0,690
itaituba,-4.27611,26.7,10/27/2020 9:17,10/27/2020 21:28,0,731
khetia,21.67124,26.5,10/27/2020 1:11,10/27/2020 12:34,158.9,683
ozgon,40.76994,12,10/27/2020 1:35,10/27/2020 12:12,38.4,637
kavieng,-2.57783,29.3,10/27/2020 19:39,10/27/2020 7:33,766,714
barrow,71.29058,-7,10/27/2020 18:49,10/27/2020 1:30,0,401
tawkar,18.4254,24,10/27/2020 3:24,10/27/2020 14:49,0,685
tamalameque,8.85221,24.5,10/27/2020 10:46,10/27/2020 22:34,0,708
khatanga,71.98002,-17.2,10/27/2020 0:14,10/27/2020 8:18,0.3,484
cherskiy,68.75325,-0.5,10/27/2020 21:08,10/27/2020 6:15,81.2,547
sentyabrskiy,-99,-99,-99,-99,-99,-99
bako,5.78333,23.6,10/27/2020 2:56,10/27/2020 14:57,0,721
qaanaaq,77.46666,-13.3,10/27/2020 12:47,10/27/2020 19:47,0,420
malakal,9.53342,29,10/27/2020 3:44,10/27/2020 15:22,0,698
ingham,-18.64552,26.2,10/27/2020 19:34,10/27/2020 8:19,218.7,765
luanda,0.29668,14.4,10/27/2020 3:12,10/27/2020 15:21,0,729
tulun,20.21173,25,10/27/2020 11:48,10/27/2020 23:16,0,688
shizunai,42.33389,13.4,10/27/2020 21:02,10/27/2020 7:33,569.5,631
wegrow,52.39954,10.9,10/27/2020 5:21,10/27/2020 15:12,0,591
ilhabela,-23.77806,17.5,10/27/2020 8:20,10/27/2020 21:14,0,774
pevek,69.70287,-4.1,10/27/2020 19:41,10/27/2020 4:06,11.1,505
busselton,-33.65249,18.6,10/27/2020 21:20,10/27/2020 10:40,533.1,800
saskylakh,71.96347,-17.2,10/27/2020 0:14,10/27/2020 8:18,2.1,484
mys shmidta,-99,-99,-99,-99,-99,-99
cape town,-33.92584,15.6,10/27/2020 3:49,10/27/2020 17:10,0,801
gizo,30.00808,22,10/27/2020 4:04,10/27/2020 15:11,0,667
anloga,5.79473,26.1,10/27/2020 5:40,10/27/2020 17:36,0,716
saint-leu,49.01667,7.8,10/27/2020 6:30,10/27/2020 16:38,0,608
asfi,32.29939,12.3,10/27/2020 6:44,10/27/2020 17:47,0,663
san jacinto,9.82767,26.4,10/27/2020 10:51,10/27/2020 22:39,0,708
port elizabeth,13.01102,27.7,10/27/2020 9:57,10/27/2020 21:38,0,701
nouadhibou,20.94188,24,10/27/2020 7:08,10/27/2020 18:35,0,687
melo,-8.5977,31.6,10/27/2020 21:37,10/27/2020 9:53,274.9,736
lebu,-37.60825,10.3,10/27/2020 9:51,10/27/2020 23:20,0,809
yulara,-25.2406,27.3,10/27/2020 20:20,10/27/2020 9:15,1037,775
east hampton,37.03737,16.1,10/27/2020 11:24,10/27/2020 22:12,0,648
pilar,17.4165,29.3,10/27/2020 21:55,10/27/2020 9:28,162.4,693
shitanjing,39.23417,6.7,10/27/2020 23:26,10/27/2020 10:08,85.8,642
saleaula,-13.44894,26.4,10/27/2020 16:54,10/27/2020 5:28,785.8,754
bathsheba,13.21133,27.7,10/27/2020 9:50,10/27/2020 21:33,0,703
saint george,12.05644,25,10/27/2020 9:58,10/27/2020 21:43,0,705
airai,-99,-99,-99,-99,-99,-99
kiruna,67.85572,-3,10/27/2020 6:28,10/27/2020 14:15,0,467
castro,42.76667,8.9,10/27/2020 6:58,10/27/2020 17:28,0,630
trinidad,5.43056,19.6,10/27/2020 10:39,10/27/2020 22:33,0,714
victoria,5.31648,11.9,10/27/2020 10:41,10/27/2020 22:39,0,718
katherine,35.22222,13.9,10/27/2020 13:55,10/27/2020 0:48,0,653
azanja,-99,-99,-99,-99,-99,-99
necochea,-38.5545,10.4,10/27/2020 9:03,10/27/2020 22:36,0,813
novobiryusinskiy,56.9578,-1,10/27/2020 0:12,10/27/2020 9:42,38.4,570
hobyo,5.3505,23.6,10/27/2020 2:56,10/27/2020 14:57,0,721
chiang khong,20.26125,27.9,10/27/2020 23:19,10/27/2020 10:48,533.8,689
kupang,-3.0438,31.3,10/27/2020 21:57,10/27/2020 10:11,888.5,734
belushya guba,-99,-99,-99,-99,-99,-99
alofi,-19.05451,24.9,10/27/2020 16:41,10/27/2020 5:25,743.8,764
berdigestyakh,62.09842,-9.1,10/27/2020 22:41,10/27/2020 7:30,33.8,529
sabang,5.88969,27.7,10/27/2020 23:14,10/27/2020 11:06,398.6,712
krasnokamensk,54.33389,3.1,10/27/2020 0:46,10/27/2020 10:31,24.2,585
sembe,1.64806,20.3,10/27/2020 4:57,10/27/2020 16:57,0,720
teano,41.25132,16.1,10/27/2020 5:28,10/27/2020 16:04,0,636
bereda,11.87037,22.9,10/27/2020 2:19,10/27/2020 13:55,0,696
atuona,-9.80342,23.8,10/27/2020 14:53,10/27/2020 3:47,48.9,774
lucknow,26.83928,19,10/27/2020 0:43,10/27/2020 11:57,223,674
gat,44.56667,1.1,10/27/2020 6:06,10/27/2020 16:31,0,625
geraldton,-28.77897,22.4,10/27/2020 21:24,10/27/2020 10:38,881.9,794
wahran,35.69111,12.7,10/27/2020 6:19,10/27/2020 17:12,0,653
chokurdakh,70.61897,-0.5,10/27/2020 21:08,10/27/2020 6:15,65.5,547
kushima,31.48621,22.4,10/27/2020 21:27,10/27/2020 8:29,708.6,662
kouqian,43.63914,6.9,10/27/2020 22:08,10/27/2020 8:34,511,626
jacqueville,5.20515,25.5,10/27/2020 6:00,10/27/2020 17:58,0,718
cururupu,-1.82833,27.1,10/27/2020 8:34,10/27/2020 20:46,0,732
betare oya,5.6,20.3,10/27/2020 4:57,10/27/2020 16:57,0,720
tromso,69.6489,1.4,10/27/2020 6:44,10/27/2020 14:13,0,449
viedma,-40.81345,10.4,10/27/2020 9:03,10/27/2020 22:36,0,813
wucheng,38.73102,14.3,10/27/2020 22:50,10/27/2020 9:36,98.7,646
pori,61.48333,11,10/27/2020 5:48,10/27/2020 14:43,0,535
turayf,31.67252,19.2,10/27/2020 3:37,10/27/2020 14:40,0,663
faya,17.9257,25.7,10/27/2020 4:51,10/27/2020 16:35,0,704
saint-philippe,-21.35852,17.3,10/27/2020 1:37,10/27/2020 14:26,36.1,769
kodiak,57.79,9.4,10/27/2020 17:13,10/27/2020 2:36,30.7,563
troitsko-pechorsk,62.70836,-8.2,10/27/2020 3:15,10/27/2020 12:30,0,555
skibbereen,51.55,11.3,10/27/2020 7:19,10/27/2020 17:14,0,595
bethel,31.92674,18.3,10/27/2020 3:51,10/27/2020 14:54,0,663
coihaique,-45.57524,7,10/27/2020 9:32,10/27/2020 23:32,0,840
axim,4.86992,25.5,10/27/2020 6:00,10/27/2020 17:58,0,718
biak,-1.1767,29.1,10/27/2020 20:15,10/27/2020 8:27,1045.9,732
olafsvik,64.89429,3.2,10/27/2020 8:57,10/27/2020 17:29,0,512
santa maria,2.95,19.4,10/27/2020 10:48,10/27/2020 22:49,0,721
amderma,69.7576,-8.2,10/27/2020 3:15,10/27/2020 12:30,0,555
leninkent,42.96895,12.5,10/27/2020 3:17,10/27/2020 13:48,0,631
vila franca do campo,37.71667,20,10/27/2020 8:03,10/27/2020 18:49,0,646
honningsvag,70.98209,0.2,10/27/2020 6:27,10/27/2020 13:38,0,431
galle,52.06007,8.5,10/27/2020 6:12,10/27/2020 16:05,0,593
dingle,52.14083,10.1,10/27/2020 7:21,10/27/2020 17:14,0,593
englewood,26.96201,25.6,10/27/2020 11:36,10/27/2020 22:50,0,674
nikolayevka,50.02824,-0.1,10/27/2020 3:40,10/27/2020 13:38,0,598
yellowknife,62.45411,-6.5,10/27/2020 14:58,10/27/2020 23:43,0,525
shahreza,32.0089,8.8,10/27/2020 2:45,10/27/2020 13:46,0,661
tasiilaq,65.61451,-0.4,10/27/2020 10:04,10/27/2020 18:18,0,494
dornoch,57.8805,9.1,10/27/2020 7:17,10/27/2020 16:40,0,563
capao da canoa,-29.74556,16.6,10/27/2020 8:32,10/27/2020 21:42,0,790
srednekolymsk,67.45659,-0.5,10/27/2020 21:08,10/27/2020 6:15,107.4,547
dikson,73.50819,-19.6,10/27/2020 2:11,10/27/2020 9:36,0,445
yar-sale,66.8654,-4.5,10/27/2020 2:20,10/27/2020 11:18,0,538
kerteh,4.5141,32.3,10/27/2020 22:50,10/27/2020 10:49,689.8,719
cradock,-32.16422,15.4,10/27/2020 3:28,10/27/2020 16:44,0,796
guerrero negro,28.30992,8.3,10/27/2020 12:51,10/27/2020 0:00,0,669
nizhneyansk,71.4403,-9.1,10/27/2020 22:41,10/27/2020 7:30,12.1,529
cayenne,4.93333,26,10/27/2020 9:14,10/27/2020 21:12,0,718
lethem,3.38333,27.1,10/27/2020 9:45,10/27/2020 21:47,0,722
mehamn,71.04137,2,10/27/2020 6:25,10/27/2020 13:17,0,412
faizpur,21.16766,25.2,10/27/2020 0:44,10/27/2020 12:11,179.5,687
namibe,-15.19611,24.1,10/27/2020 4:39,10/27/2020 17:02,0,743
formosa do rio preto,-11.04833,24.4,10/27/2020 8:43,10/27/2020 21:10,0,747
nerchinskiy zavod,51.30829,6.8,10/27/2020 22:22,10/27/2020 8:43,340.3,621
new norfolk,-42.78261,12.8,10/27/2020 19:00,10/27/2020 8:50,711,830
bengkulu,-3.80044,28.7,10/27/2020 22:38,10/27/2020 10:51,149.6,733
ilulissat,69.21667,-7,10/27/2020 11:25,10/27/2020 18:48,0,443
moree,47.90397,6,10/27/2020 6:32,10/27/2020 16:43,0,611
newport,12.05,28.4,10/27/2020 10:27,10/27/2020 22:11,0,704
meulaboh,4.14402,30.8,10/27/2020 23:08,10/27/2020 11:09,597.3,721
nguru,12.87695,23.6,10/27/2020 5:17,10/27/2020 17:02,0,705
ambilobe,-13.2,25.8,10/27/2020 2:27,10/27/2020 14:58,0,751
ponta do sol,17.19942,23.7,10/27/2020 7:36,10/27/2020 19:11,0,695
korla,41.76055,4.4,10/27/2020 0:41,10/27/2020 11:16,136.5,635
naze,28.36667,23.6,10/27/2020 21:29,10/27/2020 8:40,745.6,671
temaraia,-0.67058,27.3,10/27/2020 18:09,10/27/2020 6:14,873.9,725
akdepe,42.05513,6.3,10/27/2020 2:28,10/27/2020 13:01,0,633
moose factory,-99,-99,-99,-99,-99,-99
leningradskiy,38.10714,9,10/27/2020 1:41,10/27/2020 12:27,23,646
lompoc,34.63915,14.9,10/27/2020 14:18,10/27/2020 1:12,0,654
tecoanapa,16.50864,19.2,10/27/2020 12:34,10/27/2020 0:07,0,693
beboto,8.26681,23.2,10/27/2020 4:35,10/27/2020 16:25,0,710
nizhniy tsasuchey,50.51667,1.4,10/27/2020 23:15,10/27/2020 9:32,323.2,617
luderitz,-26.64806,16.2,10/27/2020 4:00,10/27/2020 17:02,0,782
rocha,-34.48333,10.2,10/27/2020 8:42,10/27/2020 22:06,0,804
preobrazheniye,42.90117,10.4,10/27/2020 21:41,10/27/2020 8:10,97.2,629
kaitangata,-46.275,12.4,10/27/2020 17:20,10/27/2020 7:18,817.8,838
karratha,-20.73765,31.1,10/27/2020 21:25,10/27/2020 10:12,941.5,767
buxar,25.57548,23.9,10/27/2020 0:25,10/27/2020 11:42,278.3,677
macomb,40.45921,0.4,10/27/2020 12:27,10/27/2020 23:05,0,638
semey,50.42675,9.8,10/27/2020 1:21,10/27/2020 11:24,49.4,603
touba,14.85,24.5,10/27/2020 6:58,10/27/2020 18:38,0,700
hobart,35.0295,-2,10/27/2020 12:52,10/27/2020 23:46,0,654
yakeshi,49.28333,6.8,10/27/2020 22:22,10/27/2020 8:43,373.8,621
payo,13.90033,28.9,10/27/2020 21:49,10/27/2020 9:29,176.6,700
petropavlovsk-kamchatskiy,53.04444,8,10/27/2020 20:16,10/27/2020 6:04,343.3,588
meadow lake,34.80144,-4.4,10/27/2020 13:23,10/27/2020 0:17,0,654
mandera,42.02795,14.4,10/27/2020 5:35,10/27/2020 16:09,0,634
rudbar,36.8211,12.3,10/27/2020 2:56,10/27/2020 13:45,0,649
bandarbeyla,9.4942,22.9,10/27/2020 2:19,10/27/2020 13:55,0,696
nikolskoye,59.20998,2.1,10/27/2020 4:20,10/27/2020 13:44,0,564
buraydah,26.32599,14.3,10/27/2020 3:10,10/27/2020 14:26,0,676
launceston,-41.43876,16.1,10/27/2020 19:02,10/27/2020 8:47,797.2,825
carnarvon,-30.96827,15.4,10/27/2020 3:28,10/27/2020 16:44,0,796
pangnirtung,66.14642,-18.1,10/27/2020 12:02,10/27/2020 20:09,0,487
boyolangu,-8.1181,29.5,10/27/2020 21:51,10/27/2020 10:14,226.5,743
thompson,41.95871,10.6,10/27/2020 11:14,10/27/2020 21:47,0,633
esperance,-20.06972,22.2,10/27/2020 1:29,10/27/2020 14:16,63.6,767
el balsamo,15.06667,23.1,10/27/2020 11:46,10/27/2020 23:24,0,698
pouembout,-21.13333,29.2,10/27/2020 18:13,10/27/2020 7:04,1022.2,771
sukumo,32.93333,18.9,10/27/2020 21:24,10/27/2020 8:21,694.4,657
iquique,-20.22036,9.2,10/27/2020 10:00,10/27/2020 22:48,0,768
attawapiskat,-99,-99,-99,-99,-99,-99
riyadh,24.68773,16,10/27/2020 2:57,10/27/2020 14:16,0,679
vila,42.0304,9.4,10/27/2020 6:58,10/27/2020 17:32,0,634
shaoguan,24.8,27.8,10/27/2020 22:29,10/27/2020 9:51,670.4,682
rock sound,30.50826,7.2,10/27/2020 12:41,10/27/2020 23:47,0,666
qinzhou,21.97296,25.3,10/27/2020 22:49,10/27/2020 10:13,646,684
awjilah,29.10806,14.5,10/27/2020 4:37,10/27/2020 15:31,0,654
sioux lookout,-99,-99,-99,-99,-99,-99
chadan,51.28333,3.1,10/27/2020 0:46,10/27/2020 10:31,27.1,585
hilo,19.72991,25,10/27/2020 16:19,10/27/2020 3:49,66,690
gornyak,55.13446,-2,10/27/2020 2:48,10/27/2020 12:26,0,578
arinos,-15.91694,21.1,10/27/2020 8:36,10/27/2020 21:14,0,758
lianzhou,27.04573,17.4,10/27/2020 22:35,10/27/2020 9:46,353.1,671
rawson,-43.30016,11.4,10/27/2020 9:13,10/27/2020 23:14,0,841
tuktoyaktuk,69.44472,-15.9,10/27/2020 16:56,10/27/2020 0:14,0,438
berezovyy,51.66897,7.5,10/27/2020 21:38,10/27/2020 7:48,76.4,610
tuatapere,-46.13333,11.2,10/27/2020 17:28,10/27/2020 7:25,364.5,837
sterling,38.21001,-3.9,10/27/2020 12:52,10/27/2020 23:37,0,645
haibowan,39.68442,6.7,10/27/2020 23:26,10/27/2020 10:08,81.5,642
ayan,56.46314,7.5,10/27/2020 21:38,10/27/2020 7:48,62.2,610
ankang,32.68,18.1,10/27/2020 22:49,10/27/2020 9:50,105.4,661
samusu,-14.00122,26.4,10/27/2020 16:54,10/27/2020 5:28,776.6,754
margate,26.24453,27.8,10/27/2020 11:26,10/27/2020 22:42,0,676
nanakuli,21.39362,26.7,10/27/2020 16:33,10/27/2020 3:59,80.1,686
hirado,33.36853,21.7,10/27/2020 21:34,10/27/2020 8:34,673.7,660
flinders,-32.79554,17.9,10/27/2020 19:59,10/27/2020 9:12,945,793
morgan city,29.69937,21,10/27/2020 12:15,10/27/2020 23:22,0,667
mpwapwa,-6.35,14.4,10/27/2020 3:12,10/27/2020 15:21,0,729
quatre cocos,-20.20778,22.8,10/27/2020 1:29,10/27/2020 14:16,66.6,767
saldanha,-33.01167,12.3,10/27/2020 3:51,10/27/2020 17:10,0,799
puerto quijarro,-17.78333,22,10/27/2020 9:13,10/27/2020 21:57,0,764
tchollire,8.4022,25.7,10/27/2020 4:51,10/27/2020 16:35,0,704
portland,36.58171,12.2,10/27/2020 12:04,10/27/2020 22:54,0,650
mayo,7.00211,30.3,10/27/2020 21:29,10/27/2020 9:21,938.6,712
pinawa,-99,-99,-99,-99,-99,-99
yining,43.97799,-2.7,10/27/2020 0:47,10/27/2020 11:17,103.8,630
mount isa,-20.72523,30.6,10/27/2020 19:57,10/27/2020 8:45,1083.4,768
fortuna,10.67384,23.8,10/27/2020 11:32,10/27/2020 23:19,0,707
stepnyak,52.83489,2.2,10/27/2020 1:57,10/27/2020 11:57,0,600
chenghai,23.46132,26.5,10/27/2020 22:17,10/27/2020 9:38,714.5,681
ust-kan,50.9276,8.5,10/27/2020 1:11,10/27/2020 11:15,19.2,604
hvolsvollur,63.75069,1.2,10/27/2020 8:52,10/27/2020 17:22,0,510
faanui,-16.48679,25.4,10/27/2020 15:21,10/27/2020 4:02,316.4,761
eureka,37.82392,-2.4,10/27/2020 12:46,10/27/2020 23:32,0,646
yomitan,-99,-99,-99,-99,-99,-99
